doy,weekday,time,Montreal Net Radiation - CWTA (W/m2),Montreal Relative Humidity - CWTA,Montreal Temperature - CWTA (C),Montreal Wind Speed - CWTA (km/h),Real Power Demand - Downtown Main Entrance (kW)
171,1,720,120,0.64,18,7,19153.438
171,1,735,156.5,0.6575,18.675,5.25,19591.691
171,1,750,193.0,0.675,19.35,3.5,19975.033
171,1,765,229.5,0.6925,20.025,1.75,20188.037
171,1,780,266,0.71,20.7,0,20346.316
171,1,795,297.75,0.665,20.775,1.5,20578.938
171,1,810,329.5,0.62,20.85,3.0,21008.384
171,1,825,361.25,0.575,20.925,4.5,21282.935
171,1,840,393,0.53,21,6,21371.046
171,1,855,418.75,0.53,21.825,4.5,21350.033
171,1,870,444.5,0.53,22.65,3.0,21427.348
171,1,885,470.25,0.53,23.475,1.5,21749.0079999999
171,1,900,496,0.53,24.3,0,21817.871
171,1,915,527.25,0.5225,24.575,0.5,21715.7719999999
171,1,930,558.5,0.515,24.85,1.0,21726.4479999999
171,1,945,589.75,0.5075000000000001,25.125,1.5,21753.643
171,1,960,621,0.5,25.4,2,21796.229
171,1,975,638.0,0.4975,25.549999999999997,2.0,21827.077
171,1,990,655.0,0.495,25.7,2.0,21798.073
171,1,1005,672.0,0.4925,25.85,2.0,21802.542
171,1,1020,689,0.49,26,2,21811.631
171,1,1035,695.0,0.49,26.05,1.5,21950.038
171,1,1050,701.0,0.49,26.1,1.0,21880.199
171,1,1065,707.0,0.49,26.15,0.5,22082.875
171,1,1080,713,0.49,26.2,0,22022.653
171,1,1095,708.0,0.425,26.15,1.75,22095.2179999999
171,1,1110,703.0,0.36,26.1,3.5,22424.901
171,1,1125,698.0,0.295,26.05,5.25,22221.558
171,1,1140,693,0.23,26,7,22366.943
171,1,1155,608.25,0.23750000000000002,26.25,7.0,22424.0769999999
171,1,1170,523.5,0.245,26.5,7.0,22188.896
171,1,1185,438.75,0.2525,26.75,7.0,22065.924
171,1,1200,354,0.26,27,7,21860.498
171,1,1215,306.25,0.26,27.0,6.75,21724.194
171,1,1230,258.5,0.26,27.0,6.5,21628.318
171,1,1245,210.75,0.26,27.0,6.25,21530.733
171,1,1260,163,0.26,27,6,21282.506
171,1,1275,146.75,0.26,27.0,6.0,21133.023
171,1,1290,130.5,0.26,27.0,6.0,20968.239
171,1,1305,114.25,0.26,27.0,6.0,20864.908
171,1,1320,98,0.26,27,6,20583.547
171,1,1335,84.25,0.26,26.75,6.0,20414.924
171,1,1350,70.5,0.26,26.5,6.0,20219.3269999999
171,1,1365,56.75,0.26,26.25,6.0,20158.785
171,1,1380,43,0.26,26,6,20007.405
171,1,1395,46.75,0.2975,25.5,5.0,20015.979
171,1,1410,50.5,0.33499999999999996,25.0,4.0,20059.468
171,1,1425,54.25,0.3725,24.5,3.0,20016.084
172,2,0,58,0.41,24,2,19614.945
172,2,15,39.5,0.5075,22.575,2.5,19447.13
172,2,30,21.0,0.605,21.15,3.0,19469.3689999999
172,2,45,2.5,0.7025,19.725,3.5,19120.479
172,2,60,-16,0.8,18.3,4,18734.743
172,2,75,-23.5,0.8075,17.9,4.0,18572.761
172,2,90,-31.0,0.815,17.5,4.0,18565.394
172,2,105,-38.5,0.8225,17.1,4.0,18567.932
172,2,120,-46,0.83,16.7,4,17869.92
172,2,135,-46.75,0.845,16.075,4.0,17575.102
172,2,150,-47.5,0.86,15.45,4.0,17815.509
172,2,165,-48.25,0.875,14.825,4.0,17746.463
172,2,180,-49,0.89,14.2,4,17127.2529999999
172,2,195,-48.75,0.89,13.924999999999999,4.0,17214.924
172,2,210,-48.5,0.89,13.649999999999999,4.0,17197.427
172,2,225,-48.25,0.89,13.375,4.0,17089.308
172,2,240,-48,0.89,13.1,4,16920.682
172,2,255,-48.0,0.8925000000000001,12.875,3.5,16700.092
172,2,270,-48.0,0.895,12.649999999999999,3.0,16841.184
172,2,285,-48.0,0.8975,12.424999999999999,2.5,16798.565
172,2,300,-48,0.9,12.2,2,16807.228
172,2,315,-50.75,0.9,12.024999999999999,1.5,16768.697
172,2,330,-53.5,0.9,11.85,1.0,16729.2
172,2,345,-56.25,0.9,11.675,0.5,16713.515
172,2,360,-59,0.9,11.5,0,16574.314
172,2,375,-59.75,0.845,13.125,1.75,16507.364
172,2,390,-60.5,0.79,14.75,3.5,16671.9819999999
172,2,405,-61.25,0.7350000000000001,16.375,5.25,16461.875
172,2,420,-62,0.68,18,7,16533.591
172,2,435,-61.0,0.6900000000000001,17.75,6.75,16500.167
172,2,450,-60.0,0.7,17.5,6.5,16441.639
172,2,465,-59.0,0.71,17.25,6.25,16517.5249999999
172,2,480,-58,0.72,17,6,16355.7329999999
172,2,495,-59.5,0.7424999999999999,16.15,6.25,16403.6799999999
172,2,510,-61.0,0.765,15.3,6.5,16369.196
172,2,525,-62.5,0.7875000000000001,14.45,6.75,16547.831
172,2,540,-64,0.81,13.6,7,16315.291
172,2,555,-66.5,0.81,13.8,7.0,16398.2409999999
172,2,570,-69.0,0.81,14.0,7.0,16377.159
172,2,585,-71.5,0.81,14.2,7.0,16249.465
172,2,600,-74,0.81,14.4,7,17382.54
172,2,615,-55.25,0.8,14.8,7.5,17719.457
172,2,630,-36.5,0.79,15.2,8.0,17918.682
172,2,645,-17.75,0.78,15.6,8.5,17826.898
172,2,660,1,0.77,16,9,18161.5439999999
172,2,675,27.75,0.7575000000000001,16.25,8.5,18263.266
172,2,690,54.5,0.745,16.5,8.0,18593.836
172,2,705,81.25,0.7324999999999999,16.75,7.5,19058.883
172,2,720,108,0.72,17,7,19657.005
172,2,735,137.5,0.7175,17.575,8.0,19677.0129999999
172,2,750,167.0,0.715,18.15,9.0,19989.949
172,2,765,196.5,0.7124999999999999,18.725,10.0,20607.064
172,2,780,226,0.71,19.3,11,20928.8909999999
172,2,795,268.0,0.6925,19.475,10.0,21238.158
172,2,810,310.0,0.675,19.65,9.0,21598.442
172,2,825,352.0,0.6575,19.825,8.0,21824.398
172,2,840,394,0.64,20,7,21892.361
172,2,855,400.25,0.6275,20.625,9.0,22084.407
172,2,870,406.5,0.615,21.25,11.0,22262.94
172,2,885,412.75,0.6025,21.875,13.0,22065.195
172,2,900,419,0.59,22.5,15,22555.356
172,2,915,448.75,0.5775,22.825,14.5,22663.685
172,2,930,478.5,0.565,23.15,14.0,22594.009
172,2,945,508.25,0.5525,23.475,13.5,22520.197
172,2,960,538,0.54,23.8,13,22675.3069999999
172,2,975,564.0,0.5075000000000001,24.1,11.25,22698.834
172,2,990,590.0,0.475,24.4,9.5,22629.402
172,2,1005,616.0,0.4425,24.7,7.75,22733.3869999999
172,2,1020,642,0.41,25,6,22852.05
172,2,1035,638.25,0.39999999999999997,25.25,6.0,22888.415
172,2,1050,634.5,0.39,25.5,6.0,23119.478
172,2,1065,630.75,0.38,25.75,6.0,23095.378
172,2,1080,627,0.37,26,6,22999.248
172,2,1095,591.5,0.37,26.25,6.0,22985.692
172,2,1110,556.0,0.37,26.5,6.0,22869.384
172,2,1125,520.5,0.37,26.75,6.0,22878.327
172,2,1140,485,0.37,27,6,22913.621
172,2,1155,421.25,0.3625,27.0,6.0,22837.077
172,2,1170,357.5,0.355,27.0,6.0,22771.978
172,2,1185,293.75,0.34750000000000003,27.0,6.0,22666.1319999999
172,2,1200,230,0.34,27,6,22639.6459999999
172,2,1215,233.5,0.35250000000000004,26.75,6.25,22527.47
172,2,1230,237.0,0.365,26.5,6.5,22524.623
172,2,1245,240.5,0.3775,26.25,6.75,22279.987
172,2,1260,244,0.39,26,7,22057.407
172,2,1275,212.75,0.4025,25.75,6.75,21962.0209999999
172,2,1290,181.5,0.41500000000000004,25.5,6.5,21758.336
172,2,1305,150.25,0.4275,25.25,6.25,21515.31
172,2,1320,119,0.44,25,6,21307.188
172,2,1335,100.0,0.53,23.575,6.75,21002.192
172,2,1350,81.0,0.62,22.15,7.5,21003.07
172,2,1365,62.0,0.71,20.725,8.25,20819.121
172,2,1380,43,0.8,19.3,9,20663.107
172,2,1395,32.0,0.7425,19.975,9.0,20499.559
172,2,1410,21.0,0.685,20.65,9.0,20535.393
172,2,1425,10.0,0.6275,21.325,9.0,20350.531
173,3,0,-1,0.57,22,9,20232.0039999999
173,3,15,-4.5,0.5874999999999999,21.75,8.5,20126.822
173,3,30,-8.0,0.605,21.5,8.0,20124.565
173,3,45,-11.5,0.6225,21.25,7.5,19990.779
173,3,60,-15,0.64,21,7,19474.875
173,3,75,-15.0,0.6625,20.75,7.5,19405.788
173,3,90,-15.0,0.685,20.5,8.0,19354.666
173,3,105,-15.0,0.7075,20.25,8.5,19339.493
173,3,120,-15,0.73,20,9,18949.197
173,3,135,-15.5,0.7725,18.95,8.25,18758.888
173,3,150,-16.0,0.815,17.9,7.5,18795.603
173,3,165,-16.5,0.8575,16.85,6.75,18876.786
173,3,180,-17,0.9,15.8,6,18385.8249999999
173,3,195,-17.25,0.8825000000000001,16.6,6.0,18318.3829999999
173,3,210,-17.5,0.865,17.4,6.0,18440.238
173,3,225,-17.75,0.8474999999999999,18.2,6.0,18410.925
173,3,240,-18,0.83,19,6,18235.229
173,3,255,-17.25,0.8474999999999999,18.15,6.25,18148.798
173,3,270,-16.5,0.865,17.3,6.5,17937.291
173,3,285,-15.75,0.8825000000000001,16.45,6.75,17955.434
173,3,300,-15,0.9,15.6,7,17722.763
173,3,315,-14.5,0.87,16.45,6.75,17754.818
173,3,330,-14.0,0.8400000000000001,17.3,6.5,17654.9339999999
173,3,345,-13.5,0.81,18.15,6.25,17756.129
173,3,360,-13,0.78,19,6,17699.876
173,3,375,-12.0,0.78,19.0,6.0,17665.857
173,3,390,-11.0,0.78,19.0,6.0,17441.7189999999
173,3,405,-10.0,0.78,19.0,6.0,17464.663
173,3,420,-9,0.78,19,6,17538.6669999999
173,3,435,-9.0,0.78,19.0,6.0,17348.4709999999
173,3,450,-9.0,0.78,19.0,6.0,17510.367
173,3,465,-9.0,0.78,19.0,6.0,17324.145
173,3,480,-9,0.78,19,6,17448.0419999999
173,3,495,-7.5,0.7675000000000001,19.0,5.5,17294.561
173,3,510,-6.0,0.755,19.0,5.0,17431.1979999999
173,3,525,-4.5,0.7424999999999999,19.0,4.5,17392.5969999999
173,3,540,-3,0.73,19,4,17418.146
173,3,555,-6.0,0.73,19.0,4.5,17263.751
173,3,570,-9.0,0.73,19.0,5.0,17314.86
173,3,585,-12.0,0.73,19.0,5.5,17605.961
173,3,600,-15,0.73,19,6,18880.5539999999
173,3,615,-8.25,0.73,19.0,6.25,18952.5209999999
173,3,630,-1.5,0.73,19.0,6.5,19169.99
173,3,645,5.25,0.73,19.0,6.75,19213.576
173,3,660,12,0.73,19,7,19532.1489999999
173,3,675,24.75,0.7424999999999999,19.0,6.75,19863.745
173,3,690,37.5,0.755,19.0,6.5,20245.706
173,3,705,50.25,0.7675000000000001,19.0,6.25,20435.163
173,3,720,63,0.78,19,6,20723.783
173,3,735,94.5,0.78,19.0,6.0,20717.737
173,3,750,126.0,0.78,19.0,6.0,21038.5049999999
173,3,765,157.5,0.78,19.0,6.0,21293.269
173,3,780,189,0.78,19,6,21587.585
173,3,795,184.5,0.8200000000000001,19.15,7.75,21779.372
173,3,810,180.0,0.86,19.3,9.5,22084.857
173,3,825,175.5,0.8999999999999999,19.450000000000003,11.25,22175.4819999999
173,3,840,171,0.94,19.6,13,22361.666
173,3,855,151.25,0.8875,19.950000000000003,11.5,22331.134
173,3,870,131.5,0.835,20.3,10.0,22425.825
173,3,885,111.75,0.7825,20.65,8.5,22364.886
173,3,900,92,0.73,21,7,22345.585
173,3,915,137.25,0.73,21.0,6.25,22458.976
173,3,930,182.5,0.73,21.0,5.5,22596.347
173,3,945,227.75,0.73,21.0,4.75,22629.827
173,3,960,273,0.73,21,4,22732.645
173,3,975,271.25,0.73,21.25,4.75,22676.528
173,3,990,269.5,0.73,21.5,5.5,22873.236
173,3,1005,267.75,0.73,21.75,6.25,22825.736
173,3,1020,266,0.73,22,7,22916.497
173,3,1035,282.25,0.7424999999999999,22.0,6.75,22887.343
173,3,1050,298.5,0.755,22.0,6.5,22877.8619999999
173,3,1065,314.75,0.7675000000000001,22.0,6.25,22771.18
173,3,1080,331,0.78,22,6,23000.771
173,3,1095,337.25,0.7925,21.75,6.0,22906.34
173,3,1110,343.5,0.8049999999999999,21.5,6.0,22863.989
173,3,1125,349.75,0.8175,21.25,6.0,22896.385
173,3,1140,356,0.83,21,6,22780.955
173,3,1155,311.5,0.8374999999999999,20.925,8.25,22756.67
173,3,1170,267.0,0.845,20.85,10.5,22810.558
173,3,1185,222.5,0.8525,20.775,12.75,22553.444
173,3,1200,178,0.86,20.7,15,22528.61
173,3,1215,167.0,0.865,20.775,12.25,22237.603
173,3,1230,156.0,0.87,20.85,9.5,22245.558
173,3,1245,145.0,0.875,20.925,6.75,21978.653
173,3,1260,134,0.88,21,4,21742.376
173,3,1275,109.75,0.895,20.425,6.75,21451.7569999999
173,3,1290,85.5,0.9099999999999999,19.85,9.5,21284.464
173,3,1305,61.25,0.9249999999999999,19.275,12.25,21178.359
173,3,1320,37,0.94,18.7,15,20854.288
173,3,1335,30.5,0.9424999999999999,18.475,15.0,20716.5619999999
173,3,1350,24.0,0.945,18.25,15.0,20633.989
173,3,1365,17.5,0.9475,18.025,15.0,20455.32
173,3,1380,11,0.95,17.8,15,20244.508
173,3,1395,7.75,0.9325,18.1,12.75,20127.0049999999
173,3,1410,4.5,0.915,18.4,10.5,20059.956
173,3,1425,1.25,0.8975,18.7,8.25,19965.761
174,4,0,-2,0.88,19,6,19884.204
174,4,15,-3.75,0.9025,18.575,8.75,19835.657
174,4,30,-5.5,0.925,18.15,11.5,19822.44
174,4,45,-7.25,0.9475,17.725,14.25,19584.996
174,4,60,-9,0.97,17.3,17,19039.033
174,4,75,-8.5,0.9475,17.725,14.5,19092.635
174,4,90,-8.0,0.925,18.15,12.0,18963.888
174,4,105,-7.5,0.9025,18.575,9.5,18981.542
174,4,120,-7,0.88,19,7,18549.856
174,4,135,-7.25,0.88,19.0,7.0,18378.17
174,4,150,-7.5,0.88,19.0,7.0,18438.162
174,4,165,-7.75,0.88,19.0,7.0,18519.119
174,4,180,-8,0.88,19,7,18104.484
174,4,195,-8.0,0.8674999999999999,19.0,6.75,18009.938
174,4,210,-8.0,0.855,19.0,6.5,17958.9969999999
174,4,225,-8.0,0.8425,19.0,6.25,17769.417
174,4,240,-8,0.83,19,6,17624.994
174,4,255,-8.5,0.8425,18.75,6.0,17495.671
174,4,270,-9.0,0.855,18.5,6.0,17420.528
174,4,285,-9.5,0.8674999999999999,18.25,6.0,17412.922
174,4,300,-10,0.88,18,6,17400.68
174,4,315,-9.75,0.895,17.75,6.0,17397.686
174,4,330,-9.5,0.9099999999999999,17.5,6.0,17353.941
174,4,345,-9.25,0.9249999999999999,17.25,6.0,17358.51
174,4,360,-9,0.94,17,6,17393.61
174,4,375,-10.0,0.9475,16.55,8.25,17354.821
174,4,390,-11.0,0.955,16.1,10.5,17313.5709999999
174,4,405,-12.0,0.9624999999999999,15.649999999999999,12.75,17152.501
174,4,420,-13,0.97,15.2,15,17181.481
174,4,435,-15.25,0.97,15.149999999999999,15.0,17130.283
174,4,450,-17.5,0.97,15.1,15.0,17252.011
174,4,465,-19.75,0.97,15.05,15.0,17292.1109999999
174,4,480,-22,0.97,15,15,17261.198
174,4,495,-20.75,0.97,14.9,14.5,17219.0729999999
174,4,510,-19.5,0.97,14.8,14.0,17251.267
174,4,525,-18.25,0.97,14.7,13.5,17143.812
174,4,540,-17,0.97,14.6,13,17146.297
174,4,555,-15.75,0.9624999999999999,15.2,11.25,17209.177
174,4,570,-14.5,0.955,15.8,9.5,17459.442
174,4,585,-13.25,0.9475,16.4,7.75,17423.6159999999
174,4,600,-12,0.94,17,6,18216.391
174,4,615,-2.75,0.94,17.0,6.0,18453.808
174,4,630,6.5,0.94,17.0,6.0,18463.462
174,4,645,15.75,0.94,17.0,6.0,18363.965
174,4,660,25,0.94,17,6,18641.277
174,4,675,31.75,0.94,17.0,5.5,18670.484
174,4,690,38.5,0.94,17.0,5.0,18723.395
174,4,705,45.25,0.94,17.0,4.5,18743.008
174,4,720,52,0.94,17,4,18801.025
174,4,735,39.5,0.9249999999999999,17.25,4.5,18876.959
174,4,750,27.0,0.9099999999999999,17.5,5.0,18835.399
174,4,765,14.5,0.895,17.75,5.5,18845.189
174,4,780,2,0.88,18,6,18875.301
174,4,795,86.25,0.895,18.075,9.25,18626.214
174,4,810,170.5,0.9099999999999999,18.15,12.5,18590.682
174,4,825,254.75,0.9249999999999999,18.225,15.75,18626.5939999999
174,4,840,339,0.94,18.3,19,18632.324
174,4,855,297.0,0.94,17.975,15.75,18596.125
174,4,870,255.0,0.94,17.65,12.5,18677.975
174,4,885,213.0,0.94,17.325,9.25,18744.551
174,4,900,171,0.94,17,6,18848.744
174,4,915,141.75,0.9249999999999999,17.0,5.5,18886.221
174,4,930,112.5,0.9099999999999999,17.0,5.0,18839.3809999999
174,4,945,83.25,0.895,17.0,4.5,18820.076
174,4,960,54,0.88,17,4,18798.185
174,4,975,49.25,0.88,17.0,4.75,19213.8819999999
174,4,990,44.5,0.88,17.0,5.5,19201.0799999999
174,4,1005,39.75,0.88,17.0,6.25,19182.0969999999
174,4,1020,35,0.88,17,7,19237.664
174,4,1035,35.75,0.9025,16.65,9.5,19134.093
174,4,1050,36.5,0.925,16.3,12.0,18858.464
174,4,1065,37.25,0.9475,15.95,14.5,18874.1869999999
174,4,1080,38,0.97,15.6,17,18917.616
174,4,1095,40.75,0.9675,15.525,17.0,19293.332
174,4,1110,43.5,0.965,15.45,17.0,19539.634
174,4,1125,46.25,0.9624999999999999,15.375,17.0,19409.442
174,4,1140,49,0.96,15.3,17,19160.333
174,4,1155,99.25,0.9575,15.600000000000001,17.0,19268.306
174,4,1170,149.5,0.955,15.9,17.0,19422.493
174,4,1185,199.75,0.9524999999999999,16.2,17.0,19396.665
174,4,1200,250,0.95,16.5,17,19423.801
174,4,1215,247.75,0.945,16.55,17.0,19432.835
174,4,1230,245.5,0.94,16.6,17.0,19500.914
174,4,1245,243.25,0.935,16.65,17.0,19483.058
174,4,1260,241,0.93,16.7,17,19404.509
174,4,1275,226.75,0.9325,16.65,17.0,19272.063
174,4,1290,212.5,0.935,16.6,17.0,19333.323
174,4,1305,198.25,0.9375,16.55,17.0,19217.819
174,4,1320,184,0.94,16.5,17,19174.145
174,4,1335,160.5,0.8875,17.125,14.25,19084.63
174,4,1350,137.0,0.835,17.75,11.5,19088.0609999999
174,4,1365,113.5,0.7825,18.375,8.75,19012.851
174,4,1380,90,0.73,19,6,18966.84
174,4,1395,84.0,0.7875,18.175,8.25,18799.743
174,4,1410,78.0,0.845,17.35,10.5,18733.889
174,4,1425,72.0,0.9025,16.525,12.75,18622.663
175,5,0,66,0.96,15.7,15,18519.65
175,5,15,49.5,0.96,15.6,15.0,18380.869
175,5,30,33.0,0.96,15.5,15.0,18504.668
175,5,45,16.5,0.96,15.4,15.0,18414.449
175,5,60,0,0.96,15.3,15,18034.712
175,5,75,-1.5,0.94,15.475000000000001,12.75,17984.48
175,5,90,-3.0,0.9199999999999999,15.65,10.5,17973.5559999999
175,5,105,-4.5,0.9,15.825,8.25,17944.3119999999
175,5,120,-6,0.88,16,6,17275.426
175,5,135,-5.5,0.9,15.55,8.25,17191.36
175,5,150,-5.0,0.9199999999999999,15.1,10.5,17226.551
175,5,165,-4.5,0.94,14.649999999999999,12.75,17385.642
175,5,180,-4,0.96,14.2,15,17093.767
175,5,195,-3.5,0.94,14.649999999999999,12.75,17078.869
175,5,210,-3.0,0.9199999999999999,15.1,10.5,16975.8429999999
175,5,225,-2.5,0.9,15.55,8.25,17004.898
175,5,240,-2,0.88,16,6,16752.3569999999
175,5,255,-2.25,0.9025,15.325,7.75,16608.347
175,5,270,-2.5,0.925,14.65,9.5,16610.568
175,5,285,-2.75,0.9475,13.975000000000001,11.25,16647.428
175,5,300,-3,0.97,13.3,13,16483.225
175,5,315,-3.0,0.9325,13.975000000000001,11.5,16589.796
175,5,330,-3.0,0.895,14.65,10.0,16663.923
175,5,345,-3.0,0.8574999999999999,15.325,8.5,16533.89
175,5,360,-3,0.82,16,7,16553.239
175,5,375,-2.75,0.835,16.0,6.75,16522.929
175,5,390,-2.5,0.85,16.0,6.5,16533.706
175,5,405,-2.25,0.865,16.0,6.25,16491.659
175,5,420,-2,0.88,16,6,16503.361
175,5,435,-2.0,0.905,15.25,7.25,16516.792
175,5,450,-2.0,0.9299999999999999,14.5,8.5,16399.2209999999
175,5,465,-2.0,0.955,13.75,9.75,16582.982
175,5,480,-2,0.98,13,11,16518.086
175,5,495,-1.5,0.98,12.95,11.0,16514.264
175,5,510,-1.0,0.98,12.9,11.0,16581.126
175,5,525,-0.5,0.98,12.850000000000001,11.0,16449.106
175,5,540,0,0.98,12.8,11,16549.969
175,5,555,-0.5,0.97,13.350000000000001,9.75,16534.645
175,5,570,-1.0,0.96,13.9,8.5,16415.32
175,5,585,-1.5,0.95,14.45,7.25,16404.48
175,5,600,-2,0.94,15,6,16669.088
175,5,615,-1.0,0.94,15.0,6.0,16690.055
175,5,630,0.0,0.94,15.0,6.0,16836.887
175,5,645,1.0,0.94,15.0,6.0,16627.569
175,5,660,2,0.94,15,6,16930.743
175,5,675,3.5,0.9524999999999999,14.425,7.25,16962.116
175,5,690,5.0,0.965,13.85,8.5,17005.813
175,5,705,6.5,0.9775,13.274999999999999,9.75,17083.359
175,5,720,8,0.99,12.7,11,16987.7409999999
175,5,735,10.0,0.99,13.35,11.0,17126.732
175,5,750,12.0,0.99,14.0,11.0,17235.1489999999
175,5,765,14.0,0.99,14.65,11.0,17223.357
175,5,780,16,0.99,15.3,11,17844.5259999999
175,5,795,43.0,0.9875,15.600000000000001,11.0,17988.754
175,5,810,70.0,0.985,15.9,11.0,17924.5259999999
175,5,825,97.0,0.9824999999999999,16.2,11.0,18103.269
175,5,840,124,0.98,16.5,11,18190.232
175,5,855,120.5,0.97,16.375,9.25,18462.975
175,5,870,117.0,0.96,16.25,7.5,18450.717
175,5,885,113.5,0.95,16.125,5.75,18639.78
175,5,900,110,0.94,16,4,18755.835
175,5,915,117.75,0.945,16.575,5.25,18995.519
175,5,930,125.5,0.95,17.15,6.5,19166.141
